target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,sk_cue,sk_target,sk_word_combo,unrelated_sk_cue
absolvent,679.508217390672,715.527967747308,-0.229183770036335,0.107919676221771,49.8640668889739,38.1998717852723,0.186612624347593,0.149267165581917,27,36,3,5,23,31,23,31,1,1,1,1,27,35,3,6,22,31,23,31,1,1,0.956521739130435,1,23,31,36.0197503566353,0.337103446258106,sk,diploma,graduate,diplom,absolvent,diplomabsolvent,dvojitý
absurdný,632.384250059509,832.056750021463,-0.179597212809499,0.250215273573766,48.0635216106644,69.4991476802794,0.175253367969812,0.215421264386673,20,48,7,7,16,40,16,41,0,0,1,0.975609756097561,19,48,8,7,16,40,16,41,0,0,1,0.975609756097561,16,40,199.672499961954,0.429812486383265,sk,ridiculous,absurd,nezmyselný,absurdný,nezmyselnýabsurdný,dáta
administratíva,798.083679994343,809.807066688218,0.391199919320881,0.425085262661131,89.4900036301668,55.4652851549011,0.279179799537982,0.181216587397208,33,34,7,4,25,30,26,30,0,0,0.961538461538462,1,32,34,8,4,25,27,26,30,0,0,0.961538461538462,0.9,25,30,11.7233866938749,0.0338853433402497,sk,management,administrative,manažment,administratíva,manažmentadministratíva,karneval
adrenalín,576.870130438455,606.623625020344,-0.467258899888426,-0.403338691677512,13.4288172071563,25.8478595579527,0.0647253249614477,0.092075930432466,50,19,6,6,46,16,47,16,0,0,0.978723404255319,1,51,19,5,6,45,16,47,16,0,0,0.957446808510638,1,46,16,29.7534945818888,0.063920208210914,sk,hormone,adrenaline,hormón,adrenalín,hormónadrenalín,maľovať
adresa,559.793304324366,765.417041645038,-0.71412140603907,0.181630667025976,45.2007507353416,81.6813199282638,0.145516305393061,0.257004887183184,27,28,6,8,23,24,23,24,0,0,1,1,27,33,6,3,23,9,23,24,0,0,1,0.375,23,24,205.623737320672,0.895752073065045,sk,number,address,číslo,adresa,čísloadresa,ping
agentúra,598.458235322512,671.325756748547,-0.307445271960455,-0.222944192992293,36.7177095674434,24.6795370649197,0.156212009474135,0.0873568730292444,21,42,4,2,17,37,17,37,0,0,1,1,20,42,5,2,17,34,17,37,0,0,1,0.918918918918919,17,37,72.8675214260351,0.0845010789681618,sk,firm,agency,firma,agentúra,firmaagentúra,barón
aktivovať,636.636750014734,629.057049991238,-0.331175400763737,-0.265963725690034,35.7342166695785,24.3277387539366,0.0934861893146789,0.0768502764430758,42,46,4,3,36,40,36,40,0,0,1,1,42,46,4,3,36,39,36,40,0,0,1,0.975,36,40,-7.57970002349657,0.0652116750737024,sk,trigger,activate,spustiť,aktivovať,spustiťaktivovať,analytik
alarm,735.187214307897,636.810926831313,0.112220083017694,-0.395063592370409,119.719230791703,20.7572105492651,0.399521117464303,0.0679183498795686,16,50,6,1,14,41,14,44,0,0,1,0.931818181818182,16,50,6,1,14,44,14,44,0,0,1,1,14,41,-98.3762874765833,-0.507283675388103,sk,alert,alarm,upozorniť,alarm,upozorniťalarm,nevedomosť
alej,813.080777911884,839.357714288246,0.107398027989813,0.505736727956238,64.0672362496778,72.9455935328158,0.185832786965473,0.252068717847917,25,50,3,3,9,14,20,42,0,0,0.45,0.333333333333333,25,47,3,6,20,42,20,42,0,0,1,1,9,14,26.276936376363,0.398338699966425,sk,corner,alley,roh,alej,rohalej,zvýšiť
alfa,730.506583369799,682.984090915707,0.0267910630067397,-0.214521266614755,83.4796052215048,35.7489473723587,0.242837362922949,0.117148549659368,16,26,0,5,12,22,13,24,0,0,0.923076923076923,0.916666666666667,15,25,1,6,10,24,12,24,1,0,0.833333333333333,1,12,22,-47.5224924540918,-0.241312329621495,sk,bravo,alpha,bravo,alfa,bravoalfa,priemysel
alibi,677.661904740476,713.931799994745,-0.0817249407314837,0.212301740889133,22.2634604751156,41.7780437839658,0.092625441791045,0.211452157752886,29,27,6,4,21,20,27,24,0,0,0.777777777777778,0.833333333333333,30,27,5,4,26,22,27,24,0,0,0.962962962962963,0.916666666666667,21,20,36.2698952542688,0.294026681620617,sk,motive,alibi,motív,alibi,motívalibi,nerozumný
amerika,480.508299985676,642.788607163496,-0.803435389181897,-0.372696309595458,14.5511507491381,37.0661963276865,0.0651485729808352,0.110211269566755,26,31,2,5,20,28,22,28,0,0,0.909090909090909,1,26,32,2,4,20,21,22,28,0,0,0.909090909090909,0.75,20,28,162.28030717782,0.430739079586439,sk,africa,america,afrika,amerika,afrikaamerika,kotviť
analýza,644.0039782703,581.983782590706,-0.36141989210515,-0.607861840292387,56.6529324510478,20.5878430936164,0.187288985894133,0.0760863839232219,50,29,4,6,46,23,47,25,0,0,0.978723404255319,0.92,51,29,3,6,42,24,47,25,0,0,0.893617021276596,0.96,46,23,-62.0201956795937,-0.246441948187238,sk,autopsy,analysis,pitva,analýza,pitvaanalýza,dievča
architekt,652.924256417903,693.561062489011,-0.322705585247939,-0.0861285120315787,36.2902600623763,53.2795910685407,0.0944970673737588,0.19387967159552,41,19,3,2,39,16,39,16,0,0,1,1,41,19,3,2,38,15,39,16,0,0,0.974358974358974,0.9375,39,16,40.6368060711081,0.236577073216361,sk,engineer,architect,inžinier,architekt,inžinierarchitekt,mágia
armáda,589.209043471133,603.96630001386,-0.667729455096595,-0.434758088210705,24.2598270066847,24.0823022476427,0.0640673838564608,0.0710728091761725,28,35,7,2,23,30,23,31,1,0,1,0.967741935483871,28,35,7,2,20,27,23,31,1,0,0.869565217391304,0.870967741935484,23,30,14.757256542727,0.23297136688589,sk,legion,army,légia,armáda,légiaarmáda,toast
arogancia,679.83745945459,768.024466689526,-0.201725391263676,0.300495856020901,26.442158696032,36.9015897990372,0.0953579981503779,0.138735223780155,42,37,9,4,37,30,38,32,0,0,0.973684210526316,0.9375,40,37,11,4,38,32,38,32,0,0,1,1,37,30,88.1870072349359,0.502221247284577,sk,ignorance,arrogance,nevedomosť,arogancia,nevedomosťarogancia,prsteň
asistent,654.559904768374,554.147111140725,-0.355371164136466,-0.529034064918246,61.2076109202679,29.509146412549,0.160438058054469,0.070711044850047,26,22,4,4,21,18,21,19,0,0,1,0.947368421052632,26,22,4,4,20,19,21,19,0,0,0.952380952380952,1,21,18,-100.412793627649,-0.17366290078178,sk,secretary,assistant,tajomník,asistent,tajomníkasistent,denný
asistovať,656.711781263704,720.456888907322,-0.162736242085165,-0.00254257442114877,24.4884541419099,38.9263285761243,0.112548361263461,0.119227416657339,35,33,3,7,32,27,34,31,0,0,0.941176470588235,0.870967741935484,35,33,3,7,33,30,34,31,0,0,0.970588235294118,0.967741935483871,32,27,63.7451076436174,0.160193667664017,sk,help,assist,pomáhať,asistovať,pomáhaťasistovať,hovor
atentátnik,890.607374993066,1018.29844447036,0.707136164506632,0.937935677338685,47.5725865541326,83.894096813674,0.153978744758012,0.32367155727563,31,34,3,3,24,18,29,31,2,0,0.827586206896552,0.580645161290323,32,34,2,3,22,29,30,31,1,0,0.733333333333333,0.935483870967742,24,18,127.691069477293,0.230799512832052,sk,mercenary,assassin,žoldnier,atentátnik,žoldnieratentátnik,vlajka
atlantický,642.161117649827,790.32154546336,-0.115843149092565,0.678598167248306,50.4511741137517,53.99813395417,0.218790063673335,0.270759447804964,22,25,13,5,17,22,17,22,0,0,1,1,23,26,12,4,14,22,16,22,1,0,0.875,1,17,22,148.160427813533,0.794441316340871,sk,pacific,atlantic,pacifický,atlantický,pacifickýatlantický,celebrita
atmosféra,683.991148944084,666.804081104633,-0.133956306374408,-0.321702526061147,36.6368362601757,33.5410026203951,0.142689796055366,0.0853558286981775,50,40,4,3,47,37,48,37,1,0,0.979166666666667,1,50,40,4,3,48,36,48,37,1,0,1,0.972972972972973,47,37,-17.1870678394508,-0.187746219686739,sk,environment,atmosphere,prostredie,atmosféra,prostredieatmosféra,cenný
auto,498.850478284066,520.704372094825,-0.849891152095516,-0.781080735201396,19.1462956148312,18.6967130620285,0.0708938453511985,0.068025028797872,28,47,4,6,23,43,24,43,0,0,0.958333333333333,1,27,47,5,6,22,43,24,43,0,0,0.916666666666667,1,23,43,21.853893810759,0.0688104168941202,sk,vehicle,car,vozidlo,auto,vozidloauto,ahoj
autobus,572.680900037228,545.546108721193,-0.653753149868111,-0.670386237836733,60.5883319067876,17.8003506054155,0.155698098914238,0.0489906355668607,26,50,4,6,20,46,20,47,0,0,1,0.978723404255319,26,50,4,6,20,46,20,47,0,0,1,0.978723404255319,20,46,-27.1347913160347,-0.0166330879686225,sk,train,bus,vlak,autobus,vlakautobus,vnuk
babička,484.308629622107,532.011636381431,-0.919996898918303,-0.680981018536324,20.2114174852724,20.9637150533896,0.0813660508248246,0.0890766092453255,29,38,2,6,27,33,27,34,0,0,1,0.970588235294118,29,38,2,6,27,33,27,34,0,0,1,0.970588235294118,27,33,47.7030067593236,0.239015880381979,sk,grandfather,grandmother,dedko,babička,dedkobabička,atraktívny
balík,546.451340931077,638.550346124795,-0.736637766007115,-0.23368730838361,24.1154713355396,56.9736427598924,0.0671398173406986,0.20839657831082,50,27,6,1,44,26,44,26,0,0,1,1,49,27,7,1,44,26,44,26,0,0,1,1,44,26,92.0990051937187,0.502950457623505,sk,envelope,package,obálka,balík,obálkabalík,košeľa
bar,539.385571439522,581.230809520478,-0.610414803771205,-0.571613618003998,31.2541857121855,36.1112841468352,0.127635209953257,0.102895973396796,28,25,6,0,28,21,28,21,0,0,1,1,28,25,6,0,27,21,28,21,0,0,0.964285714285714,1,28,21,41.8452380809566,0.0388011857672065,sk,club,bar,klub,bar,klubbar,duševný
baseball,1047.67237037159,852.660833332445,1.19861981758886,0.374537835809447,90.7643723073599,71.7878204960722,0.401853211891251,0.18572815628957,35,29,6,3,27,24,29,27,2,0,0.931034482758621,0.888888888888889,33,29,8,3,29,27,30,27,1,0,0.966666666666667,1,27,24,-195.01153703915,-0.824081981779412,sk,stadium,baseball,štadión,baseball,štadiónbaseball,reťaz
batman,592.313159999711,795.421076907315,-0.419302364202895,0.121151541865425,28.4183583835589,83.8390367050916,0.105371397328605,0.235154213782779,27,17,7,6,25,13,25,16,0,0,1,0.8125,26,18,8,5,24,16,25,16,0,0,0.96,1,25,13,203.107916907604,0.540453906068321,sk,superman,batman,superman,batman,supermanbatman,tuhý
bavlna,617.405478280148,651.514130437038,-0.38501854961522,-0.392159549045395,26.4368257717999,35.2279810016592,0.117442850957487,0.107242716943441,24,27,2,0,23,23,23,23,0,0,1,1,24,25,2,2,21,22,23,23,0,0,0.91304347826087,0.956521739130435,23,23,34.1086521568895,-0.00714099943017521,sk,silk,cotton,hodváb,bavlna,hodvábbavlna,inžinier
bezcenný,663.352611168074,767.516689677415,-0.206762948979293,0.196142575978771,42.3561496076888,39.7428517633591,0.131174800650523,0.165824339663215,22,32,3,7,18,29,18,31,0,1,1,0.935483870967742,22,32,3,7,18,30,18,31,0,1,1,0.967741935483871,18,29,104.16407850934,0.402905524958064,sk,useless,worthless,zbytočný,bezcenný,zbytočnýbezcenný,pohár
bezmocný,656.249846217784,663.20720001366,-0.249565189521247,-0.0403824421824462,39.4264230828386,50.2013784747822,0.1905956559756,0.235757737268486,31,19,4,3,26,15,26,15,0,0,1,1,30,19,5,3,25,14,26,15,0,0,0.961538461538462,0.933333333333333,26,15,6.95735379587597,0.209182747338801,sk,helpless,powerless,bezradný,bezmocný,bezradnýbezmocný,aukcia
bezpečnosť,595.639621624961,677.466260871217,-0.608375649583362,-0.204308590484291,23.1628121245552,62.3730520370226,0.055163910935419,0.166084892799981,40,24,8,4,37,23,38,23,0,0,0.973684210526316,1,40,26,8,2,38,20,38,23,0,0,1,0.869565217391304,37,23,81.8266392462561,0.404067059099072,sk,security,safety,zabezpečenie,bezpečnosť,zabezpečeniebezpečnosť,bravo
bieda,563.492040007247,617.169749998594,-0.500149234276115,-0.387944476104623,31.0736217230196,32.9347682878485,0.119398143082156,0.139438346340294,29,42,3,3,25,36,25,39,0,0,1,0.923076923076923,29,42,3,3,25,37,25,39,0,0,1,0.948717948717949,25,36,53.6777099913467,0.112204758171492,sk,poverty,misery,chudoba,bieda,chudobabieda,hlas
biologický,655.079076971971,699.69940741424,-0.374521309166077,-0.107219945154752,59.2551696643338,63.2619782502566,0.177758235245762,0.201254162577967,28,30,7,4,26,27,26,27,0,1,1,1,28,29,7,5,26,20,26,26,0,2,1,0.769230769230769,26,27,44.6203304422694,0.267301364011325,sk,chemical,biological,chemický,biologický,chemickýbiologický,washington
biológia,507.541294118382,508.359555553692,-0.834930293067646,-0.804831510039677,13.0655138647381,14.5382071198036,0.041995079696299,0.0543418534658804,39,31,3,7,34,27,34,27,0,0,1,1,39,33,3,5,34,25,34,27,0,0,1,0.925925925925926,34,27,0.818261435310262,0.0300987830279693,sk,chemistry,biology,chémia,biológia,chémiabiológia,tanečník
bitka,543.51409302388,628.095222253352,-0.687422300897751,-0.591546811022147,26.6296660608484,54.651689801716,0.0638285549661406,0.167120182829859,48,11,7,3,43,9,44,9,0,1,0.977272727272727,1,48,10,7,4,43,7,44,9,0,1,0.977272727272727,0.777777777777778,43,9,84.5811292294726,0.0958754898756032,sk,combat,fight,boj,bitka,bojbitka,sherlock
bitka,543.51409302388,628.095222253352,-0.687422300897751,-0.591546811022147,26.6296660608484,54.651689801716,0.0638285549661406,0.167120182829859,48,11,7,3,43,9,44,9,0,1,0.977272727272727,1,48,10,7,4,43,7,44,9,0,1,0.977272727272727,0.777777777777778,43,9,84.5811292294726,0.0958754898756032,sk,combat,fight,boj,bitka,bojbitka,sieť
bitka.1,523.222249994047,572.170736845887,-0.770192242440144,-0.565353651405109,27.106637254172,41.3758204004964,0.0840824609940852,0.107289458161704,21,22,3,2,16,19,17,19,0,0,0.941176470588235,1,22,21,2,3,16,19,17,19,0,0,0.941176470588235,1,16,19,48.9484868518393,0.204838591035035,sk,war,battle,vojna,bitka,vojnabitka,sherlock
bitka.1,523.222249994047,572.170736845887,-0.770192242440144,-0.565353651405109,27.106637254172,41.3758204004964,0.0840824609940852,0.107289458161704,21,22,3,2,16,19,17,19,0,0,0.941176470588235,1,22,21,2,3,16,19,17,19,0,0,0.941176470588235,1,16,19,48.9484868518393,0.204838591035035,sk,war,battle,vojna,bitka,vojnabitka,sieť
bitkár,668.862566677909,667.777434757793,-0.286271316629972,-0.0907992878953171,45.6540894286732,46.2356453469769,0.185682209055708,0.191654351641494,34,26,7,2,30,23,31,25,1,0,0.967741935483871,0.92,34,26,7,2,31,24,31,25,1,0,1,0.96,30,23,-1.08513192011594,0.195472028734654,sk,champion,fighter,majster,bitkár,majsterbitkár,pulz
bohatstvo,584.864228576547,607.337500007634,-0.633237591334536,-0.481524739672485,32.3600644389758,34.3578910058243,0.083071814766576,0.0675065258220202,39,33,5,3,35,30,35,31,0,0,1,0.967741935483871,39,33,5,3,35,28,35,31,0,0,1,0.903225806451613,35,30,22.4732714310866,0.151712851662051,sk,treasure,wealth,poklad,bohatstvo,pokladbohatstvo,dekan
bohatý,497.366333328276,552.629266674454,-0.833498376682123,-0.611784350633627,26.0561891442919,26.315365882505,0.0831475492248968,0.0891864023733179,19,50,7,2,18,45,18,45,0,0,1,1,19,50,7,2,18,41,18,45,0,0,1,0.911111111111111,18,45,55.2629333461781,0.221714026048495,sk,poor,rich,chudobný,bohatý,chudobnýbohatý,chirurg
bojisko,673.792363645927,627.276909098247,-0.197047166310814,-0.244654766910148,38.5301419892904,26.0702841006527,0.125266363248479,0.123421956618603,49,26,1,6,44,22,44,24,0,0,1,0.916666666666667,47,26,3,6,42,24,44,24,0,0,0.954545454545455,1,44,22,-46.5154545476795,-0.0476076005993346,sk,arena,battlefield,aréna,bojisko,arénabojisko,anonymný
bojovník,556.550629680401,555.982684220471,-0.464252993043726,-0.641885870583664,34.6406012076846,29.2251812638619,0.139303377728536,0.0888515795019522,31,23,7,7,27,19,27,19,0,0,1,1,31,23,7,7,26,19,27,19,0,0,0.962962962962963,1,27,19,-0.567945459929888,-0.177632877539938,sk,soldier,warrior,vojak,bojovník,vojakbojovník,časť
bolesť,487.829083340238,578.793204077341,-0.883380303102028,-0.504115056335282,15.1252945734016,35.5803934524888,0.0576229007891518,0.206909428876744,26,50,6,1,24,49,24,49,1,0,1,1,26,50,6,1,24,49,24,49,1,0,1,1,24,49,90.9641207371038,0.379265246766746,sk,suffering,pain,utrpenie,bolesť,utrpeniebolesť,príbuzný
boston,784.249318193345,958.968000013102,0.119489706103473,0.799641830214988,76.3194120860475,248.494641040446,0.25811674164274,0.672609350590652,25,20,4,3,22,5,24,15,0,1,0.916666666666667,0.333333333333333,26,19,3,4,19,16,24,16,0,0,0.791666666666667,1,22,5,174.718681819757,0.680152124111515,sk,washington,boston,washington,boston,washingtonboston,náhle
božský,777.347040035934,695.6341428881,0.188200104185582,-0.204557164159446,71.8969685827629,61.3262979739101,0.264670904186227,0.245045244130703,29,26,4,4,25,21,25,21,0,0,1,1,30,26,3,4,19,21,25,21,0,0,0.76,1,25,21,-81.712897147834,-0.392757268345028,sk,god,divine,boha,božský,bohabožský,leto
brada,513.644357116936,608.018655169749,-0.782879800081196,-0.375536601767603,27.5715955244461,18.1751789710647,0.10416095656139,0.0965388698968088,16,34,7,4,14,29,14,29,1,0,1,1,17,34,6,4,15,28,15,29,0,0,1,0.96551724137931,14,29,94.3742980528127,0.407343198313593,sk,hair,beard,vlasy,brada,vlasybrada,vyšetrenie
brat,504.091652187923,600.92280000678,-0.875150402374583,-0.444669487431916,21.2488591184128,66.1086638344666,0.0963360230505494,0.197069774410499,47,22,7,8,46,20,46,20,0,0,1,1,48,22,6,8,46,20,46,20,0,0,1,1,46,20,96.8311478188573,0.430480914942667,sk,sister,brother,sestra,brat,sestrabrat,kľúč
bratranec,597.650000004474,767.479375006724,-0.420035659299308,0.0889951262026719,36.1347065982903,44.2880311485874,0.118087370087591,0.174157374262479,29,19,8,2,26,16,26,16,1,0,1,1,29,19,8,2,25,16,26,16,1,0,0.961538461538462,1,26,16,169.82937500225,0.50903078550198,sk,relative,cousin,príbuzný,bratranec,príbuznýbratranec,evolúcia
brnenie,709.402235283862,719.221093772311,0.0951804173306489,0.0425201090445978,46.2631530744752,48.3567365125792,0.165033625361094,0.157806180877056,20,36,3,4,17,32,18,33,0,1,0.944444444444444,0.96969696969697,19,37,4,3,18,33,18,34,0,0,1,0.970588235294118,17,32,9.81885848844888,-0.0526603082860511,sk,shield,armor,štít,brnenie,štítbrnenie,brutálny
brušný,659.24329629973,707.438499985226,-0.264204487816176,0.119290632799609,32.6524425778663,67.0644299946194,0.103281430521679,0.287561959990195,31,11,5,2,27,8,27,10,0,0,1,0.8,34,11,2,2,19,8,27,10,0,0,0.703703703703704,0.8,27,8,48.1952036854965,0.383495120615785,sk,spinal,abdominal,spinálny,brušný,spinálnybrušný,navigácia
brána,530.07142103924,564.629700047285,-0.797217929380245,-0.478912724300732,22.2241026933706,24.3218735697549,0.0647893619615466,0.0818667065250101,22,32,2,6,19,30,19,31,0,0,1,0.967741935483871,22,33,2,5,19,31,19,31,0,0,1,1,19,30,34.5582790080452,0.318305205079513,sk,portal,gate,portál,brána,portálbrána,kompliment
budova,578.282903218726,579.148541651678,-0.466063468396305,-0.636648449506791,27.2188480118545,20.2206685082941,0.0924765925733308,0.0491961995924549,35,27,4,5,31,24,31,24,0,0,1,1,36,27,3,5,31,24,31,24,0,0,1,1,31,24,0.865638432951869,-0.170584981110486,sk,tower,building,veža,budova,vežabudova,teplý
bunda,571.301699998361,618.107860457513,-0.540109945036089,-0.4562145494591,26.7309173735118,19.134372703327,0.0597110682287016,0.0654422682225363,33,48,11,1,30,43,31,44,0,0,0.967741935483871,0.977272727272727,33,49,11,0,31,38,31,44,0,0,1,0.863636363636364,30,43,46.8061604591518,0.083895395576989,sk,shirt,jacket,košeľa,bunda,košeľabunda,guvernér
byt,554.660684216678,507.83657694528,-0.636222831320719,-0.729644052380053,32.8756926786778,17.0639162005014,0.118431645273576,0.0714536666914695,43,31,8,3,38,26,38,28,1,0,1,0.928571428571429,43,31,8,3,38,27,38,28,1,0,1,0.964285714285714,38,26,-46.8241072713975,-0.0934212210593346,sk,house,apartment,dom,byt,dombyt,kvapalina
báseň,489.746846163442,562.867444436978,-0.783060380311474,-0.671675178666452,20.8553383129798,32.3309290969594,0.111411826392201,0.091481223603391,13,22,4,0,13,18,13,18,0,0,1,1,13,22,4,0,13,17,13,18,0,0,1,0.944444444444444,13,18,73.120598273536,0.111385201645021,sk,text,poem,text,báseň,textbáseň,posádka
búrka,574.688892868092,559.735933363907,-0.64461069755987,-0.47196136847913,47.9999395177164,33.3193375523323,0.126873823832685,0.129549656298027,31,20,4,3,28,15,28,17,0,0,1,0.88235294117647,30,19,5,4,27,13,28,16,0,1,0.964285714285714,0.8125,28,15,-14.9529595041844,0.17264932908074,sk,wind,storm,vietor,búrka,vietorbúrka,privilégium
cena,494.715181827384,500.057153837214,-0.836125639307187,-0.888492412134299,18.6181596786546,24.8796711089388,0.0731547599991303,0.098486153935874,28,31,0,5,22,26,22,27,0,0,1,0.962962962962963,28,30,0,6,22,27,22,27,0,0,1,1,22,26,5.34197200982976,-0.0523667728271114,sk,value,price,hodnota,cena,hodnotacena,kráľovský
cena,494.715181827384,500.057153837214,-0.836125639307187,-0.888492412134299,18.6181596786546,24.8796711089388,0.0731547599991303,0.098486153935874,28,31,0,5,22,26,22,27,0,0,1,0.962962962962963,28,30,0,6,22,27,22,27,0,0,1,1,22,26,5.34197200982976,-0.0523667728271114,sk,value,price,hodnota,cena,hodnotacena,kostol
cena.1,533.312419346382,511.469086942007,-0.68629734207313,-0.731831036717126,21.5185814034762,25.643783618171,0.0751329801521128,0.0965912073407021,33,28,3,2,31,23,32,23,0,0,0.96875,1,34,27,2,3,15,22,32,23,0,0,0.46875,0.956521739130435,31,23,-21.8433324043743,-0.0455336946439958,sk,nobel,prize,nobel,cena,nobelcena,kráľovský
cena.1,533.312419346382,511.469086942007,-0.68629734207313,-0.731831036717126,21.5185814034762,25.643783618171,0.0751329801521128,0.0965912073407021,33,28,3,2,31,23,32,23,0,0,0.96875,1,34,27,2,3,15,22,32,23,0,0,0.46875,0.956521739130435,31,23,-21.8433324043743,-0.0455336946439958,sk,nobel,prize,nobel,cena,nobelcena,kostol
centimeter,801.45934284948,648.750892864674,0.180457842930771,-0.334697696870642,58.9051658696296,32.3980041971503,0.20944693566178,0.0990532094607113,40,32,4,3,35,28,35,29,0,0,1,0.96551724137931,40,32,4,3,24,29,35,29,0,0,0.685714285714286,1,35,28,-152.708449984807,-0.515155539801413,sk,mile,centimeter,míla,centimeter,mílacentimeter,manžel
cesta,565.233833347919,720.924324336069,-0.507376650147228,-0.177097110159882,66.7439033021161,55.2308865909568,0.285920380556072,0.189120749282335,20,40,4,2,18,37,18,38,0,0,1,0.973684210526316,20,41,4,1,16,21,18,38,0,0,0.888888888888889,0.552631578947368,18,37,155.69049098815,0.330279539987345,sk,route,path,trasa,cesta,trasacesta,lazane
cestovný pas,673.585289490412,731.819160000235,-0.165217892729713,0.06718858953339,34.8931470885345,69.6315013782535,0.119600894202772,0.216906935931987,43,30,7,5,38,25,38,25,0,0,1,1,44,28,6,7,38,24,38,25,0,0,1,0.96,38,25,58.2338705098226,0.232406482263103,sk,ticket,passport,lístok,cestovný pas,lístokcestovný pas,koncepcia
chirurgia,672.214043492592,768.049243235992,-0.224482754806547,0.228828548818389,41.3126060612437,63.21795483516,0.128079834314299,0.209204225000047,25,43,0,9,23,37,23,38,0,0,1,0.973684210526316,25,43,0,9,21,36,23,38,0,0,0.91304347826087,0.947368421052632,23,37,95.8351997433998,0.453311303624936,sk,operate,surgery,operovať,chirurgia,operovaťchirurgia,dom
chladný,525.247357151958,572.347956510929,-0.664639413163013,-0.523570375586359,31.1740061173489,29.5699952362745,0.162092491648821,0.0950886713969189,20,26,2,3,14,23,15,24,0,0,0.933333333333333,0.958333333333333,21,26,1,3,14,12,15,24,0,0,0.933333333333333,0.5,14,23,47.1005993589712,0.141069037576653,sk,warm,cool,teplý,chladný,teplýchladný,artefakt
chlapec,542.741142845278,551.139800005114,-0.723952323219329,-0.651694356727951,45.1036470051459,31.7445325379641,0.116135929268391,0.131386780005829,22,22,2,7,21,20,21,20,0,0,1,1,22,22,2,7,21,20,21,20,0,0,1,1,21,20,8.39865715983683,0.0722579664913783,sk,girl,boy,dievča,chlapec,dievčachlapec,obyčajný
chytať,553.32124998694,614.4717692283,-0.513302978814939,-0.476962502624116,28.4747766353198,43.1516522037467,0.10287237429096,0.135676715496588,34,31,5,7,28,26,28,26,0,0,1,1,36,31,3,7,23,26,28,26,0,0,0.821428571428571,1,28,26,61.1505192413605,0.0363404761908231,sk,grab,catch,uchmatnúť,chytať,uchmatnúťchytať,jednoducho
chyžná,600.735906244154,676.101100000367,-0.477360075454958,-0.131390229574059,30.6328438149692,46.0546222349278,0.0945253662413159,0.156234693854313,41,28,2,1,32,20,33,22,0,0,0.96969696969697,0.909090909090909,41,27,2,2,32,19,33,22,0,0,0.96969696969697,0.863636363636364,32,20,75.3651937562124,0.345969845880899,sk,nanny,maid,opatrovateľka,chyžná,opatrovateľkachyžná,paranoidný
chôdza,577.803357168678,610.990800019349,-0.633312186602663,-0.421219573105862,27.1020518239315,32.3692327805007,0.0800425526957744,0.109348474987021,35,41,6,6,28,35,28,36,0,0,1,0.972222222222222,35,41,6,6,28,33,28,36,0,0,1,0.916666666666667,28,35,33.1874428506712,0.212092613496801,sk,run,walk,beh,chôdza,behchôdza,námorný
cibuľa,473.092450017211,573.285519998369,-0.8329698119743,-0.715809076897446,17.8951805041327,25.6943188667612,0.0597387281002486,0.101444682721702,22,27,5,3,20,25,20,25,0,0,1,1,22,27,5,3,20,25,20,25,0,0,1,1,20,25,100.193069981159,0.117160735076855,sk,garlic,onion,cesnak,cibuľa,cesnakcibuľa,taxík
cigara,572.912133324666,619.633807693439,-0.452768022734813,-0.534058505611866,32.5790260456976,38.7119117986196,0.134746442803663,0.116858313522436,19,28,2,2,15,26,17,26,0,0,0.88235294117647,1,18,27,3,3,15,25,17,26,0,0,0.88235294117647,0.961538461538462,15,26,46.7216743687727,-0.0812904828770531,sk,smoke,cigar,dym,cigara,dymcigara,pohyb
cigareta,567.115156250294,586.26848277064,-0.527844150194542,-0.408214195586173,22.1846082227719,39.0256709453868,0.0740919788519971,0.143808099308216,35,33,5,4,32,29,32,29,0,0,1,1,35,33,5,4,30,28,32,29,0,0,0.9375,0.96551724137931,32,29,19.1533265203465,0.119629954608369,sk,tobacco,cigarette,tabak,cigareta,tabakcigareta,kritický
cintorín,551.309714294885,642.484048778291,-0.605295615796855,-0.378569944837413,46.571428671263,39.9551919979345,0.176086621952232,0.100367524219614,32,44,7,4,28,41,29,42,1,0,0.96551724137931,0.976190476190476,32,44,7,4,29,42,29,42,1,0,1,1,28,41,91.1743344834063,0.226725670959442,sk,grave,cemetery,hrob,cintorín,hrobcintorín,uplatniť
